Post_Title,Description,Post_Category,Borough,Location,Post_Price,Sqft,Private Room,Private Bath,Laundry,Parking,Bedrooms,Bathrooms,Success
Amazing house,Nice house,sublets & temporary,queens,Greenwich Village,2500,1212,TRUE,TRUE,w/d hookups,attached garage,7,9+,0
Midtown West Beautiful Views 1 Spacious Bedroom for a Multi-local,"This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

Let me know the specific days you will be staying but remember this is not for the whole week. Booking will be 10% cheaper through Craigslist compared to Split Lease.

Fully furnished one bedroom apartment in an elevator building in Midtown West. Apartment could be for 2. Rent includes all utilities including WiFi, cable and 2 mounted flat screen TVs. Kitchen comes with all appliances and utensils. Bedroom has a queen size bed, dresser and enough closet space. Living room area has a queen size pull out couch. There is a laundry room in the building. Building also has a roof deck with great New York City views.
",rooms & shares,manhattan,Midtown West,2700,0,TRUE,TRUE,laundry in bldg,no parking,1,1,1
Perfect solution for Multi-local Fully Renovated Spacious Jersey City Apartment,"Spacious Jersey City Apartment available to Split Lease! The space is in a great location and is just minutes from NYC. I am looking for someone who would need space for part of the week each week, like Mon-Fri each week.

The space would be empty during the time you are away, unless I find a renter with complimentary nights. I would be happy to provide secured storage for you to leave some things in the space during the time you are away. You can find my listing on Split Lease too, but the price will be cheaper on Craigslist. I can be flexible, so if you think this space would work for you, don’t hesitate to reach out.

Beautiful brownstone in Historic District in downtown Jersey City. Walkable to train, bus, and ferry. 3 blocks to Grove Street PATH train (7 minute train to New York city) . 1-3 block walk to everything: food stores, restaurants, parks, and shopping!

***Virtual 3D tour available*** (cut and paste this link to your browser):
https://my.matterport.com/show/?m=sYpCdq2PPqZ

- This stylish 1Bedroom/1Bathroom apartment is located on the 2nd floor.
- Washer and dryer located on ground floor.

The apartment features new furniture & appliances and equipped with :
- Pots, pans, cooking utensils, dishes, glassware etc.
- Coffee maker
- Toaster
- Microwave
- 2 SMART HDTVs with access to Netflix, HULU, HBO Max and hundreds of other streaming applications.
- High Speed Wifi wireless Internet
- Queen Size bed firm comfort mattress in the bedroom
- Brand new Bed Linens and Towels and other essentials.
",rooms & shares,new jersey,,2200,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
SPLIT LEASE Cozy and Home Feel Tribeca 2 BD Studio Apartment,"The apartment is furnished, outfitted, well equipped and located in lower Manhattan’s high profile Tribeca neighborhood. 

The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

We are one flight up on the 2nd floor (no elevator) in a small quiet residential bldg located on an iconic Tribeca block, Adjacent to SOHO/Greenwich Village. Financial center, Lower East Side and Chelsea. When requesting in/out dates kindly tell us some specifics/details about your  intended visit, # guests, singles or couples, purpose of visit, where are you coming from, or if relocating. Rates change seasonally. 

Studio, check photos consists of an 900 sq ft loft apartment with 2 separate sleeping areas, living room & dining area, outfitted kitchen and spacious full bath. One sleeping area  has 1 queen bed and another 2nd sleeping area has a bunk bed unit with 2 single beds, one over the other adjacent to the living area. Accommodates -3, or a couple with a child or friend. 

Location is a low density area in one of lower Manhattan's most desirable zip codes. This foot/family friendly 19th cent.downtown historic district boasts wide cobblestone streets and is near both the art galleries in Tribeca & Chelsea and boutique shopping in nearby SOHO. Tribeca has some of the best award winning 4* chef owned restaurants. Walk to nearby Soho, Chelsea Chinatown, the Financial district and Greenwich Village.. 4 blocks from Hudson River Promenade, with miles of uninterrupted biking /jogging paths in a traffic free zone along the Hudson River.  There are many waterfront parks with a children's playground. Subway/bus 1 block away, with taxis/public metro nearby.+ uber  Supermarket/ shopping pharmacy within walking distance... MIN.3-4 nights

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.
",vacation rentals,manhattan,Lower East Side,2800,900,TRUE,TRUE,laundry on site,street parking,2,1,0
1 BD w/Private Garden Apartment in Manhattan for a Multi-local,"I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist.

Gorgeous one bedroom apartment with private garden. Apartment has a full kitchenette and bath, dishwasher, onsite laundry facilities, wireless Internet and TV. Perfect for sharing - the apartment has 2 queen beds, 1 twin portable bed, and 2 double sleeper sofas in the living room. One block to Whole Foods, convenience stores, and take-out restaurants.
",rooms & shares,manhattan,Harlem / Morningside,1000,0,TRUE,TRUE,laundry on site,street parking,1,1,0
Pay Per Night Cozy Private Studio Apartment in Astoria,"I’m seeking a ghost roommate situation in which someone would just need to be in the space for part of the week. You could leave some things to come back to each week and I would charge a nightly rate. This rate would be dependent on your total number of nights booked. I typically offer discounts for longer term/stays with more nights. Be sure to let me know if you have any questions, I’d be happy to chat. Also, don’t hesitate to reach out, I have flexibility in price and schedule. I can offer a discount here on Craigslist compared to Split Lease.

Building has a secure code for entrance. WiFi/cable included. Comes with a full size bed, tv, couch, dining area, mini-fridge/freezer, microwave, linen and cleaning supplies. Closet available. Laundromat is one block away. Astoria park right across the street. 
",sublets & temporary,queens,,1650,0,TRUE,TRUE,no laundry on site,street parking,1,1,0
HYBRID WORK Fully Furnished Cozy 2 Bedroom Parking Hudson County NJ ,"The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

Prime Location: Convenient & Modern 2-Bedrooms, 1-Bathroom Apartment in a 2-unit house. This apartment is on the second level.
The property is a new renovation and is nestled in a friendly and safe urban neighborhood.

- Private modern 2-Bedroom 1 Bath condo
- Fully equipped kitchen with new appliances, utensils, coffee maker, kettle, blender
- Walk to groceries, restaurants, cafes, shopping + delivery options
- Fully equipped kitchen with utensils provided
- 24/7 buses to NYC. Manhattan in 20 min
- Street parking or paid municipal parking lot next door
- Luxury bedding, new renovation, WiFi.

ROOMS
Room 1: Queen size bed, workstation with a chair, loveseat couch, reach-in closet, nightstand and lamps.
Room 2: Queen size bed, large closet with shelving, bedside table with a lamp.

Living/Dining Area:
2 couches, coffee table, flat-screen TV. Dining table with 4 seats.

Modern space is well lit, cozy and has all the amenities in a vibrant neighborhood. For connectivity and entertainment, there is high-speed WiFi, LED TV. A full kitchen has utensils. We are happy to provide restaurant recommendations (many!). Fresh towels, soap, shampoo/conditioner/body wash are provided.

I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.
",vacation rentals,new jersey,,2650,0,TRUE,TRUE,w/d hookups,street parking,2,1,1
COMMUTER HOME 2bd House Modern Style in Bedford Stuyvesant,"Reverse Lease situation. This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

The apartment has 2 bedrooms, a full living with a pull out sofa couch, a kitchen with eating utensils, plates. glasses, and pots. The larger bedroom has a queen size bed with a dresser and tv with cable and a closet. The smaller bedroom has a full size bed with a dresser and TV with cable.

The apartment also has a large bathroom with a tub and a shower head. a storage shelf for your towels and washcloths, and a sink with a cabinet at the bottom. Each room is decorated nicely with a modern style, this apartment is very clean and cozy.

Booking will be 10% cheaper through Craigslist compared to Split Lease.
",rooms & shares,brooklyn,,2750,0,TRUE,TRUE,no laundry on site,no parking,2,1,1
Repeating Rental Private Bed and Bath in Bronx For Work Stay,"Great location for a work stay! This is an unbelievable find for NYC area. You would have your own private bedroom and bathroom inside a spacious 2BR and 2bath apartment in a new building with a ton of amenities included in the price. The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

The apartment immaculate, safe and is a 5 min walk to the 6 subway line at 3rd Avenue-138th street, which connects to the express 4 & 5 lines at the next stop in Manhattan at 125th street, providing easy access to many of the NYC hospitals on the East side of Manhattan or express access to hospitals in the Bronx. I am a non-smoker and expect the same, as smoking is not allowed on premises nor in the outdoor spaces including the balcony. I work 10 to 12 hour days Mondays through Fridays. Would appreciate a tenant who is planning on working a minimum of 3 shifts per week and will be requesting proof of this with your signed contract from your travel company in advance. NYC is an expensive place to live, so I need to ensure that you will be able to manage the costs of living while you are here. Additionally, a background check will be required using your $50 deposit and must be completed prior to signing the sublease. During the week, I am a quiet but early riser and am out the door for work by 615am. I have a hairless cat (Canadian sphynx breed), who's friendly and house trained and will not be in your personal space. He will obviously be contained to common areas of the apartment. Monthly rent includes access to building amenities (gym, locker room, saunas and pool) as well as wifi & Netflix. Please don't hesitate to contact me via text messaging regarding details of the apartment.

I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.
",sublets & temporary,bronx,,1795,0,TRUE,TRUE,w/d in unit,street parking,1,1,1
Perfect solution for Multi-local Striking Modern Luxury 1 BD Gem in Jersey City,"The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

Grocery stores, great restaurants, nightlife, a park and transportation just steps away. Being a passionate and details oriented host I'll timely answer your questions and reply to your Special Pricing inquiries with great pleasure. I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.

Newly crafted apartment intersecting old world charm and modern luxury appeal centrally located in a vibrant Heights section. This stylish 3Bedroom/2Bathroom home is located on the 2st floor (~ 20 stairs to climb) of a walk up building features a Master Suit with a full in-suit bathroom, a good size bedroom, additional smaller bedroom, a kitchen and a designers' bathroom.

Aesthetic sharp lines of angular, minimalist, design and warm gray interior color coupled with historic charm of 1850th brick in the Master Suite. Wide panoramic window not only fills the room with sunlight but also makes you feel connected to the vibrant urban environment. Carefully selected, streamlined, furniture gives you more space, even in the smaller 3nd bedroom. Uncluttered, clean space creates a neat, fluid and relaxing environment and will make your stay remarkably enjoyable.


*** Free of Charge access to washer and dryer located in the basement.

The apartment features new furniture & appliances and equipped with :
- Pots, pans, cooking utensils, dishes, glassware etc.
- Coffee maker, Toaster, Steamer
- Hair Dryer
- SMART HDTV with Built-in Roku, providing you access to Netflix, YouTube and hundreds of other streaming apps as well as movies and TV shows available with your cable or satellite subscription.
- High Speed Wifi wireless Internet
- 2 Queen Size beds with firm comfort mattress in each bedroom
- Futon in the 3rd bedroom (turns in to a comfortable bed for 2)
- Bed Linens, Towels and other essentials.
",rooms & shares,new jersey,,1318,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
